destination_airport_lon,destination_airport_lat,destination
-118.408,33.942,los angeles
-73.417,45.517,montreal
-73.779,40.64,new york
-97.362,32.82,fort worth
-96.852,32.847,dallas
103.867,1.417,singapore
-104.667,39.858,denver
-80.943,35.214,charlotte
-71.398,46.788,quebec
-97.362,32.82,fort worth
-79.37,43.862,toronto
-117.215,32.699,san diego
-118.408,33.942,los angeles
-118.408,33.942,los angeles
-73.779,40.64,new york
-75.241,39.872,philadelphia
-79.37,43.862,toronto
-95.159,29.607,houston
-87.896,42.947,milwaukee
-87.752,41.786,chicago
-76.668,39.175,baltimore
-106.38,31.849,el paso
-117.215,32.699,san diego
-73.779,40.64,new york
-95.159,29.607,houston
-98.279,29.529,san antonio
-95.159,29.607,houston
-118.408,33.942,los angeles
-98.279,29.529,san antonio
-80.943,35.214,charlotte
-79.37,43.862,toronto
-73.779,40.64,new york
-73.779,40.64,new york
-97.032,50.056,winnipeg
-87.752,41.786,chicago
-79.37,43.862,toronto
-73.417,45.517,montreal
-73.779,40.64,new york
-123.182,49.195,vancouver
-98.279,29.529,san antonio
-73.417,45.517,montreal
-95.159,29.607,houston
-122.597,45.589,portland
-75.241,39.872,philadelphia
-75.241,39.872,philadelphia
-95.159,29.607,houston
-87.752,41.786,chicago
-79.37,43.862,toronto
-89.977,35.042,memphis
-77.037,38.852,washington
-73.779,40.64,new york
-98.279,29.529,san antonio
-73.779,40.64,new york
-79.37,43.862,toronto
-96.852,32.847,dallas
-98.279,29.529,san antonio
-79.37,43.862,toronto
-118.408,33.942,los angeles
-73.779,40.64,new york
-71.398,46.788,quebec
-96.852,32.847,dallas
-117.215,32.699,san diego
-75.669,45.323,ottawa
-73.417,45.517,montreal
-86.678,36.124,nashville
-87.896,42.947,milwaukee
-114.02,51.114,calgary
-89.977,35.042,memphis
-80.943,35.214,charlotte
-79.37,43.862,toronto
-81.688,30.494,jacksonville
-121.929,37.362,san jose
-117.215,32.699,san diego
-114.02,51.114,calgary
-96.852,32.847,dallas
-97.67,30.194,austin
-80.943,35.214,charlotte
-75.241,39.872,philadelphia
-79.935,43.173,hamilton
-123.182,49.195,vancouver
-122.302,47.53,seattle
-98.279,29.529,san antonio
-87.752,41.786,chicago
-117.215,32.699,san diego
-73.779,40.64,new york
-118.408,33.942,los angeles
-97.601,35.393,oklahoma city
-73.779,40.64,new york
-86.294,39.717,indianapolis
-87.752,41.786,chicago
-118.408,33.942,los angeles
-86.294,39.717,indianapolis
-117.215,32.699,san diego
-73.417,45.517,montreal
-75.407,43.234,rome
-73.779,40.64,new york
-122.597,45.589,portland
-75.407,43.234,rome
-73.779,40.64,new york
-73.779,40.64,new york
-123.182,49.195,vancouver
-79.37,43.862,toronto
-98.279,29.529,san antonio
-75.241,39.872,philadelphia
-79.37,43.862,toronto
-73.779,40.64,new york
-73.417,45.517,montreal
-97.601,35.393,oklahoma city
-97.67,30.194,austin
-117.215,32.699,san diego
-117.215,32.699,san diego
-81.688,30.494,jacksonville
-71.398,46.788,quebec
-73.779,40.64,new york
-82.892,39.998,columbus
-75.669,45.323,ottawa
-73.779,40.64,new york
-97.032,50.056,winnipeg
-79.37,43.862,toronto
-123.182,49.195,vancouver
-122.302,47.53,seattle
